manuscript,section,placeholder_text,zotero_title,zotero_authors,zotero_year,zotero_key_or_id,status,notes
oxide_report,4.4 Embedding view,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Hu et al. 2024]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li K. et al. | Hu et al.",2024 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | NLBNY4TV,RESOLVED_MULTI,
oxide_report,4.4 Embedding view,"[CITE: van der Maaten & Hinton 2008; McInnes et al. 2018]","Visualizing Data using t-SNE | UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction","van der Maaten & Hinton | McInnes et al.",2008 | 2018,TVLLPSQ9 | N7UREDXA,RESOLVED_MULTI,"t-SNE: TVLLPSQ9 (JMLR 9:2579-2605). UMAP: N7UREDXA; year 2018 confirmed in Zotero (issued field corrected)"
nitride_report,1. Introduction,"[CITE: crystal graph baseline for materials property prediction]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties | Atomistic Line Graph Neural Network for improved materials property predictions","Xie & Grossman | Choudhary & DeCost",2018 | 2021,4K3VGEUE | U9NHTD8R,RESOLVED_MULTI,"Author decision: CGCNN + ALIGNN as twin exemplars; same as oxide and combined Introduction"
nitride_report,1. Introduction,"[CITE: CGCNN foundational paper]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties","Xie & Grossman",2018,4K3VGEUE,RESOLVED,
nitride_report,1. Introduction,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
nitride_report,1. Introduction,"[CITE: JARVIS dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
nitride_report,1. Introduction,"[CITE: transfer learning in materials informatics]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI,"Author decision; consistent with explicit [CITE: Lee & Asahi 2021; Kim et al. 2024] in Discussion §4.2"
nitride_report,1. Introduction,"[CITE: domain shift or OOD benchmark in materials property prediction]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials","Omee et al. | Li K. et al.",2024 | 2025,VNA4JJ3A | QGDLHVAF,RESOLVED_MULTI,"Author decision: two benchmark/evaluation papers for Introduction; method papers reserved for Discussion"
nitride_report,2.1 Dataset and prediction target,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
nitride_report,2.3 Split protocol and subset construction,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
nitride_report,2.4 Zero-shot evaluation,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
nitride_report,2.5 Fine-tuning and from-scratch protocols,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
nitride_report,3.6 Supporting evidence (pretrained vs scratch),"[CITE: Lee2021_TransferCGCNN; Hu2024_DomainAdaptation]","Transfer learning for materials informatics using crystal graph convolutional neural network | Realistic material property prediction using domain adaptation based machine learning","Lee & Asahi | Hu et al.",2021 | 2024,EIITR8T3 | NLBNY4TV,RESOLVED_MULTI,"Internal citation handles normalized to author-year form: Lee & Asahi 2021; Hu et al. 2024"
nitride_report,4.2 What pretraining helps with on nitrides,"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI,
nitride_report,4.2 What pretraining helps with on nitrides,"[CITE: Lee & Asahi 2021; Hu et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Realistic material property prediction using domain adaptation based machine learning","Lee & Asahi | Hu et al.",2021 | 2024,EIITR8T3 | NLBNY4TV,RESOLVED_MULTI,
nitride_report,4.3 Why nitride is harder,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Li et al. 2025 — adversarial; Hu et al. 2024]","Structure-based OOD materials property prediction: a benchmark study | Probing OOD generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li K. et al. | Li Q. et al. | Hu et al.",2024 | 2025 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | 7STQCC9U | NLBNY4TV,RESOLVED_MULTI,"Li 2025 disambiguation applied: Li K. et al. = QGDLHVAF (Probing OOD generalization); Li Q. et al. = 7STQCC9U (Adversarial Learning)"
nitride_report,4.3 Why nitride is harder,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Hu et al. 2024]","Structure-based OOD materials property prediction: a benchmark study | Probing OOD generalization in machine learning for materials | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li K. et al. | Hu et al.",2024 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | NLBNY4TV,RESOLVED_MULTI,
nitride_report,4.4 What the embedding analysis adds,"[CITE: Choudhary & DeCost 2021; Choudhary 2025]","Atomistic Line Graph Neural Network for improved materials property predictions | The JARVIS Infrastructure is All You Need for Materials Design","Choudhary & DeCost | Choudhary",2021 | 2025,U9NHTD8R | WD6C24D9,RESOLVED_MULTI,
nitride_report,4.4 What the embedding analysis adds,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Li et al. 2025 — adversarial]","Structure-based OOD materials property prediction: a benchmark study | Probing OOD generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning","Omee et al. | Li K. et al. | Li Q. et al.",2024 | 2025 | 2025,VNA4JJ3A | QGDLHVAF | 7STQCC9U,RESOLVED_MULTI,"Li 2025 disambiguation applied: Li K. et al. = QGDLHVAF; Li Q. et al. = 7STQCC9U"
nitride_report,4.4 What the embedding analysis adds,"[CITE: van der Maaten & Hinton 2008; McInnes et al. 2018]","Visualizing Data using t-SNE | UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction","van der Maaten & Hinton | McInnes et al.",2008 | 2018,TVLLPSQ9 | N7UREDXA,RESOLVED_MULTI,"t-SNE: TVLLPSQ9 (JMLR 9:2579-2605). UMAP: N7UREDXA; year 2018 confirmed in Zotero"
nitride_report,4.5 Practical implications for small-data materials discovery,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD]","Structure-based OOD materials property prediction: a benchmark study | Probing OOD generalization in machine learning for materials","Omee et al. | Li K. et al.",2024 | 2025,VNA4JJ3A | QGDLHVAF,RESOLVED_MULTI,
combined_report,I. Introduction,"[CITE: crystal graph baseline for materials property prediction]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties | Atomistic Line Graph Neural Network for improved materials property predictions","Xie & Grossman | Choudhary & DeCost",2018 | 2021,4K3VGEUE | U9NHTD8R,RESOLVED_MULTI,"Author decision: CGCNN + ALIGNN as twin exemplars; consistent across all three manuscripts"
combined_report,I. Introduction,"[CITE: CGCNN foundational paper]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties","Xie & Grossman",2018,4K3VGEUE,RESOLVED,
combined_report,I. Introduction,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
combined_report,I. Introduction,"[CITE: JARVIS dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
combined_report,I. Introduction,"[CITE: transfer learning in materials informatics]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI,"Author decision; consistent with explicit form in §VII.2 and §V.III.C"
combined_report,I. Introduction,"[CITE: domain shift or OOD benchmark in materials property prediction]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials","Omee et al. | Li K. et al.",2024 | 2025,VNA4JJ3A | QGDLHVAF,RESOLVED_MULTI,"Author decision: two benchmark papers for Introduction; method papers 7STQCC9U and NLBNY4TV reserved for §VII.3 and §VII.5"
combined_report,II.2.1 Study design and dataset,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
combined_report,II.2.1 Study design and dataset,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
combined_report,II.2.3 Split inheritance and subset construction,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED,
combined_report,II.2.4 Zero-shot baseline,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
combined_report,II.2.7 Hyperparameter setting and model specification,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
combined_report,III.3.1 Oxide zero-shot MAE results,"[CITE: Choudhary & DeCost 2021 — ALIGNN]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED,
combined_report,III.3.1 Oxide zero-shot MAE results,"[CITE: Choudhary et al. 2020 — JARVIS; Choudhary et al. 2024 — JARVIS-Leaderboard]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design | JARVIS-Leaderboard: a large scale benchmark of materials design methods","Choudhary et al. | Choudhary et al.",2020 | 2024,TR6CHAD2 | ZNSBRAGX,RESOLVED_MULTI,
combined_report,IV.4.6 Supporting evidence (pretrained vs scratch),"[CITE: Lee2021_TransferCGCNN; Hu2024_DomainAdaptation]","Transfer learning for materials informatics using crystal graph convolutional neural network | Realistic material property prediction using domain adaptation based machine learning","Lee & Asahi | Hu et al.",2021 | 2024,EIITR8T3 | NLBNY4TV,RESOLVED_MULTI,"Internal citation handles normalized to author-year form: Lee & Asahi 2021; Hu et al. 2024"
combined_report,V.III.C Transfer-benefit contrast (pretrained vs scratch),"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI,
combined_report,VI.A Embedding analysis implementation,"[CITE: van der Maaten & Hinton 2008; McInnes et al. 2018]","Visualizing Data using t-SNE | UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction","van der Maaten & Hinton | McInnes et al.",2008 | 2018,TVLLPSQ9 | N7UREDXA,RESOLVED_MULTI,"t-SNE: TVLLPSQ9 (JMLR 9:2579-2605). UMAP: N7UREDXA; year 2018 confirmed in Zotero"
combined_report,VII.2 What pretraining helps with,"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI,
combined_report,VII.2 What pretraining helps with,"[CITE: Lee & Asahi 2021; Kim et al. 2024; Hu et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning | Realistic material property prediction using domain adaptation based machine learning","Lee & Asahi | Kim et al. | Hu et al.",2021 | 2024 | 2024,EIITR8T3 | E9PT9HW4 | NLBNY4TV,RESOLVED_MULTI,
combined_report,VII.3 What chemical-family mismatch costs,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Li et al. 2025 — adversarial; Hu et al. 2024]","Structure-based OOD materials property prediction: a benchmark study | Probing OOD generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li K. et al. | Li Q. et al. | Hu et al.",2024 | 2025 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | 7STQCC9U | NLBNY4TV,RESOLVED_MULTI,"Li 2025 disambiguation applied: Li K. et al. = QGDLHVAF (Probing OOD generalization); Li Q. et al. = 7STQCC9U (Adversarial Learning)"
combined_report,VII.4 Why oxide is easier,"[CITE: Choudhary et al. 2020 — JARVIS; Choudhary & DeCost 2021 — ALIGNN]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design | Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary et al. | Choudhary & DeCost",2020 | 2021,TR6CHAD2 | U9NHTD8R,RESOLVED_MULTI,
combined_report,VII.4 Why oxide is easier,"[CITE: Choudhary et al. 2024 — JARVIS-Leaderboard]","JARVIS-Leaderboard: a large scale benchmark of materials design methods","Choudhary et al.",2024,ZNSBRAGX,RESOLVED,
combined_report,VII.5 Why nitride is harder,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Hu et al. 2024]","Structure-based OOD materials property prediction: a benchmark study | Probing OOD generalization in machine learning for materials | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li K. et al. | Hu et al.",2024 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | NLBNY4TV,RESOLVED_MULTI,
combined_report,VII.6 What the embedding analysis adds beyond performance curves,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Li et al. 2025 — adversarial]","Structure-based OOD materials property prediction: a benchmark study | Probing OOD generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning","Omee et al. | Li K. et al. | Li Q. et al.",2024 | 2025 | 2025,VNA4JJ3A | QGDLHVAF | 7STQCC9U,RESOLVED_MULTI,"Li 2025 disambiguation applied: Li K. et al. = QGDLHVAF; Li Q. et al. = 7STQCC9U"
combined_report,VII.6 What the embedding analysis adds beyond performance curves,"[CITE: Omee et al. 2024; Li et al. 2025 — adversarial]","Structure-based OOD materials property prediction: a benchmark study | Out-of-Distribution Material Property Prediction Using Adversarial Learning","Omee et al. | Li Q. et al.",2024 | 2025,VNA4JJ3A | 7STQCC9U,RESOLVED_MULTI,
combined_report,VII.6 What the embedding analysis adds beyond performance curves,"[CITE: van der Maaten & Hinton 2008; McInnes et al. 2018]","Visualizing Data using t-SNE | UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction","van der Maaten & Hinton | McInnes et al.",2008 | 2018,TVLLPSQ9 | N7UREDXA,RESOLVED_MULTI,"t-SNE: TVLLPSQ9 (JMLR 9:2579-2605). UMAP: N7UREDXA; year 2018 confirmed in Zotero"
combined_report,VII.7 Practical implications for small-data materials discovery,"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI,
