figure_label,source_path,report_membership,text_placement,linked_table_path,purpose_note,status,copied_to
FIG_TRANSFER_BENEFIT,to_be_created,combined,main_text,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_summary.csv,Side-by-side grouped bar: oxide and nitride transfer benefit (from_scratch_minus_finetune_mae) at N=50 and N=500 ONLY; scope strictly limited to these two N values,to_be_created,n/a
FIG_EA_6A_PCA,reports/week4_embedding_analysis/figures/pca/last_alignn_pool_fixed_test_family.png,nitride|combined|oxide_optional,main_text,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,PCA of last_alignn_pool on fixed test set colored by family; shows family separation in raw pretrained space,exists,core_figures/FIG_EA_6A_PCA.png
FIG_EA_6B_TSNE,reports/week4_embedding_analysis/figures/tsne/last_alignn_pool_fixed_test_family_p30.png,nitride|combined|oxide_optional,main_text,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,t-SNE (perplexity=30) of last_alignn_pool on fixed test set colored by family; canonical perplexity selection,exists,core_figures/FIG_EA_6B_TSNE_P30.png
FIG_EA_6C_UMAP,reports/week4_embedding_analysis/figures/umap/last_alignn_pool_fixed_test_family_n30.png,nitride|combined|oxide_optional,main_text,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,UMAP (n_neighbors=30) of last_alignn_pool on fixed test set colored by family; canonical n_neighbors selection,exists,core_figures/FIG_EA_6C_UMAP_N30.png
FIG_EA_6D_BOXPLOT,reports/week4_embedding_analysis/figures/distance_vs_error/last_alignn_pool_oxide_knn5_mean_distance_hard_easy_boxplot.png,nitride|combined,main_text,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,Primary FIG_EA_6D: hard vs easy nitride boxplot by kNN5 distance quartile; illustrates hard-minus-easy mean gap,exists,core_figures/FIG_EA_6D_KNN5_BOXPLOT.png
FIG_EA_6D_SCATTER,reports/week4_embedding_analysis/figures/distance_vs_error/last_alignn_pool_oxide_knn5_mean_distance_vs_abs_error.png,nitride|combined,main_text,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,Companion to FIG_EA_6D_BOXPLOT: scatter of kNN5 distance vs absolute error; illustrates Spearman correlation; use alongside or as alternative to boxplot,exists,core_figures/FIG_EA_6D_KNN5_SCATTER.png
FIG_APP_PARITY_OXIDE_N50,reports/Hyperparameter Set 1/Parity Plots/Oxide Parity Plot - Hyperparameter Set 1 N=50.png,oxide|combined,appendix,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Oxide parity at N=50; first genuine adaptation checkpoint; appendix robustness check,exists,appendix_figures/FIG_S1_PARITY_OXIDE_N50.png
FIG_APP_PARITY_OXIDE_N100,reports/Hyperparameter Set 1/Parity Plots/Oxide Parity Plot - Hyperparameter Set 1 N=100.png,oxide|combined,appendix,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Oxide parity at N=100; appendix progression,exists,appendix_figures/FIG_S1_PARITY_OXIDE_N100.png
FIG_APP_PARITY_OXIDE_N200,reports/Hyperparameter Set 1/Parity Plots/Oxide Parity Plot - Hyperparameter Set 1 N=200.png,oxide|combined,appendix,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Oxide parity at N=200; appendix progression,exists,appendix_figures/FIG_S1_PARITY_OXIDE_N200.png
FIG_APP_PARITY_OXIDE_N500,reports/Hyperparameter Set 1/Parity Plots/Oxide Parity Plot - Hyperparameter Set 1 N=500.png,oxide|combined,appendix,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Oxide parity at N=500; appendix progression,exists,appendix_figures/FIG_S1_PARITY_OXIDE_N500.png
FIG_APP_PARITY_NITRIDE_N50,reports/Hyperparameter Set 1/Parity Plots/Nitride Parity Plot - Hyperparameter Set 1 N=50.png,nitride|combined,appendix,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Nitride parity at N=50; inert regime (mean_best_epoch=1.0); appendix evidence of inertness,exists,appendix_figures/FIG_S1_PARITY_NITRIDE_N50.png
FIG_APP_PARITY_NITRIDE_N100,reports/Hyperparameter Set 1/Parity Plots/Nitride Parity Plot - Hyperparameter Set 1 N=100.png,nitride|combined,appendix,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Nitride parity at N=100; inert regime (mean_best_epoch=1.0); appendix evidence of inertness,exists,appendix_figures/FIG_S1_PARITY_NITRIDE_N100.png
FIG_APP_PARITY_NITRIDE_N200,reports/Hyperparameter Set 1/Parity Plots/Nitride Parity Plot - Hyperparameter Set 1 N=200.png,nitride|combined,appendix,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Nitride parity at N=200; inert regime (mean_best_epoch=1.0); appendix evidence of inertness,exists,appendix_figures/FIG_S1_PARITY_NITRIDE_N200.png
FIG_APP_PARITY_NITRIDE_N500,reports/Hyperparameter Set 1/Parity Plots/Nitride Parity Plot - Hyperparameter Set 1 N=500.png,nitride|combined,appendix,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Nitride parity at N=500; first genuine adaptation; appendix,exists,appendix_figures/FIG_S1_PARITY_NITRIDE_N500.png
FIG_APP_TSNE_P15,reports/week4_embedding_analysis/figures/tsne/last_alignn_pool_fixed_test_family_p15.png,combined,appendix,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,t-SNE (p=15) last_alignn_pool family separation; robustness check for canonical p=30,exists,appendix_figures/FIG_EA_TSNE_P15.png
FIG_APP_TSNE_P50,reports/week4_embedding_analysis/figures/tsne/last_alignn_pool_fixed_test_family_p50.png,combined,appendix,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,t-SNE (p=50) last_alignn_pool family separation; robustness check for canonical p=30,exists,appendix_figures/FIG_EA_TSNE_P50.png
FIG_APP_UMAP_N15,reports/week4_embedding_analysis/figures/umap/last_alignn_pool_fixed_test_family_n15.png,combined,appendix,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,UMAP (n=15) last_alignn_pool family separation; robustness check for canonical n=30,exists,appendix_figures/FIG_EA_UMAP_N15.png
FIG_APP_UMAP_N50,reports/week4_embedding_analysis/figures/umap/last_alignn_pool_fixed_test_family_n50.png,combined,appendix,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,UMAP (n=50) last_alignn_pool family separation; robustness check for canonical n=30,exists,appendix_figures/FIG_EA_UMAP_N50.png
FIG_APP_PCA_PRE_HEAD,reports/week4_embedding_analysis/figures/pca/pre_head_fixed_test_family.png,combined,appendix,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,PCA of pre_head layer family separation; appendix_support embedding layer; do not use as primary main-text evidence,exists,appendix_figures/FIG_EA_PCA_PRE_HEAD.png
FIG_APP_PCA_LAST_GCN_POOL,reports/week4_embedding_analysis/figures/pca/last_gcn_pool_fixed_test_family.png,combined,appendix,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,PCA of last_gcn_pool layer family separation; appendix_support embedding layer; near-duplicate of pre_head in family-separation metrics,exists,appendix_figures/FIG_EA_PCA_LAST_GCN_POOL.png
FIG_APP_PCA_HARD_EASY,reports/week4_embedding_analysis/figures/pca/last_alignn_pool_hard_easy_nitrides_on_balanced_pool.png,nitride|combined,appendix,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,PCA of last_alignn_pool with nitrides colored by hard/easy label; balanced pool; appendix context for domain-shift mechanism,exists,appendix_figures/FIG_EA_PCA_HARD_EASY.png
FIG_APP_CENTROID_BOXPLOT,reports/week4_embedding_analysis/figures/distance_vs_error/last_alignn_pool_oxide_centroid_distance_hard_easy_boxplot.png,combined,appendix,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,Centroid distance hard/easy boxplot for last_alignn_pool; appendix robustness check vs canonical kNN5 metric,exists,appendix_figures/FIG_EA_CENTROID_BOXPLOT.png
FIG_APP_MAHAL_BOXPLOT,reports/week4_embedding_analysis/figures/distance_vs_error/last_alignn_pool_oxide_mahalanobis_lw_distance_hard_easy_boxplot.png,combined,appendix,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,Mahalanobis distance hard/easy boxplot for last_alignn_pool; appendix robustness check vs canonical kNN5 metric,exists,appendix_figures/FIG_EA_MAHAL_BOXPLOT.png
FIG_APP_ELEMENT_PCA,reports/week4_embedding_analysis/figures/element_appendix/element_embedding_pca.png,combined,appendix,reports/week4_embedding_analysis/tables/element_embedding_property_correlations.csv,PCA of element-level embeddings; appendix context showing what the representation encodes at element level,exists,appendix_figures/FIG_EA_ELEMENT_PCA.png
FIG_APP_ELEMENT_TSNE,reports/week4_embedding_analysis/figures/element_appendix/element_embedding_tsne.png,combined,appendix,reports/week4_embedding_analysis/tables/element_embedding_property_correlations.csv,t-SNE of element-level embeddings; appendix,exists,appendix_figures/FIG_EA_ELEMENT_TSNE.png
FIG_APP_ELEMENT_UMAP,reports/week4_embedding_analysis/figures/element_appendix/element_embedding_umap.png,combined,appendix,reports/week4_embedding_analysis/tables/element_embedding_property_correlations.csv,UMAP of element-level embeddings; appendix,exists,appendix_figures/FIG_EA_ELEMENT_UMAP.png
